Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1768839076,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1768839077,5,,Aggregated,0.000000,0.000000,310,320,320,320,320,320,320,320,320,320,320,5,0,310,308.2,295,319,80.0
1768839079,15,,Aggregated,2.000000,0.000000,300,310,320,320,320,580,580,580,580,580,580,13,0,300,276.46153846153845,57,580,70.38461538461539
1768839081,20,,Aggregated,2.666667,0.000000,300,300,320,320,320,320,580,580,580,580,580,21,0,300,254.47619047619048,57,580,68.19047619047619
1768839083,25,,Aggregated,3.600000,0.000000,280,300,310,310,320,320,580,580,580,580,580,36,0,270,215.63888888888889,57,580,68.61111111111111
1768839087,30,,Aggregated,4.666667,0.000000,130,300,300,310,320,340,580,870,870,870,870,54,0,120,206.33333333333334,57,871,67.61111111111111
1768839090,35,,Aggregated,5.600000,0.000000,110,280,300,310,320,330,580,870,870,870,870,77,0,110,184.6103896103896,57,871,61.63636363636363
1768839094,40,,Aggregated,6.200000,0.000000,110,260,290,300,320,330,340,580,870,870,870,106,0,110,169.8679245283019,57,871,66.0754716981132
1768839097,45,,Aggregated,7.100000,0.000000,110,130,280,300,320,330,380,580,870,870,870,135,0,110,160.9111111111111,56,871,65.15555555555555
1768839102,50,,Aggregated,7.700000,0.000000,100,120,280,300,320,330,360,580,870,870,870,165,0,100,156.29090909090908,56,871,65.04242424242425
1768839107,50,,Aggregated,7.800000,0.000000,100,120,270,290,320,330,370,380,870,870,870,207,0,100,152.15458937198068,56,871,65.57487922705315
1768839113,50,,Aggregated,7.600000,0.000000,99,120,260,290,320,340,380,460,870,870,870,249,0,99,148.3413654618474,56,871,67.3855421686747
1768839117,50,,Aggregated,7.500000,0.000000,96,120,140,280,310,330,370,460,870,870,870,292,0,96,140.7054794520548,56,871,66.96232876712328
1768839121,50,,Aggregated,8.400000,0.000000,96,120,130,260,310,330,370,400,870,870,870,327,0,96,136.77064220183487,56,871,68.31192660550458
1768839124,50,,Aggregated,9.700000,0.000000,97,120,130,140,310,330,370,400,870,870,870,365,0,97,132.4931506849315,56,871,70.97808219178083
1768839129,50,,Aggregated,9.600000,0.000000,97,120,130,140,300,330,380,400,870,870,870,407,0,97,130.57739557739558,56,871,72.46437346437347
1768839133,50,,Aggregated,9.400000,0.000000,96,120,120,140,300,330,380,400,870,870,870,448,0,96,127.86160714285714,56,871,72.31473214285714
1768839137,50,,Aggregated,9.500000,0.000000,96,120,120,130,300,320,370,400,870,870,870,491,0,96,124.43584521384929,56,871,73.53156822810591
