Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1768839838,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1768839840,10,,Aggregated,0.000000,0.000000,360,360,360,370,370,370,370,370,370,370,370,5,0,360,340.6,265,368,217.6
1768839842,15,,Aggregated,2.000000,0.000000,350,360,360,360,370,370,370,370,370,370,370,12,0,330,297.8333333333333,104,368,204.33333333333334
1768839844,20,,Aggregated,2.750000,0.000000,280,340,360,360,360,370,370,370,370,370,370,22,0,280,261.6818181818182,69,368,198.6818181818182
1768839846,25,,Aggregated,3.333333,0.000000,260,320,350,360,370,380,380,380,380,380,380,35,0,260,238.82857142857142,65,385,196.31428571428572
1768839850,30,,Aggregated,4.200000,0.000000,170,280,350,360,370,380,400,400,400,400,400,54,0,160,219.75925925925927,58,401,194.57407407407408
1768839854,35,,Aggregated,5.400000,0.000000,150,280,330,350,370,380,400,400,400,400,400,76,0,150,203.98684210526315,57,401,194.76315789473685
1768839858,40,,Aggregated,6.300000,0.000000,140,260,300,340,360,370,390,400,400,400,400,104,0,140,187.60576923076923,57,401,182.22115384615384
1768839862,45,,Aggregated,6.500000,0.000000,130,160,290,320,360,370,390,400,400,400,400,136,0,130,179.1764705882353,56,401,182.73529411764707
1768839868,50,,Aggregated,6.800000,0.000000,130,150,280,300,360,370,380,400,400,400,400,172,0,130,171.00581395348837,56,401,179.88953488372093
1768839874,50,,Aggregated,7.100000,0.000000,130,150,260,290,350,370,380,390,400,400,400,214,0,130,167.54205607476635,56,401,184.3551401869159
1768839878,50,,Aggregated,6.600000,0.000000,130,140,160,280,340,360,380,390,400,400,400,255,0,130,157.5607843137255,56,401,188.31764705882352
1768839883,50,,Aggregated,7.700000,0.000000,130,140,150,260,340,360,380,390,400,400,400,292,0,130,153.7431506849315,55,401,187.9041095890411
1768839887,50,,Aggregated,8.700000,0.000000,130,140,150,170,330,360,380,390,400,400,400,333,0,130,147.32732732732734,55,401,183.87387387387386
1768839892,50,,Aggregated,8.600000,0.000000,130,140,150,160,330,360,380,390,410,410,410,375,0,130,144.328,55,407,186.95733333333334
1768839897,50,,Aggregated,8.900000,0.000000,130,130,150,150,320,360,380,390,410,410,410,416,0,130,141.36298076923077,55,407,190.65144230769232
1768839903,50,,Aggregated,8.500000,0.000000,130,130,140,150,320,360,380,400,410,410,410,457,0,130,140.40919037199126,55,409,192.00218818380745
1768839908,50,,Aggregated,8.100000,0.000000,130,130,140,150,300,360,380,400,420,420,420,501,0,130,137.98602794411178,55,417,193.39720558882235
1768839912,50,,Aggregated,8.600000,0.000000,130,130,140,150,290,350,380,400,420,420,420,543,0,130,135.17495395948436,55,417,193.68876611418048
1768839917,50,,Aggregated,8.600000,0.000000,130,130,140,150,290,350,390,400,420,420,420,582,0,130,134.946735395189,55,417,195.9810996563574
1768839922,50,,Aggregated,7.900000,0.000000,130,130,140,150,280,350,390,400,420,420,420,623,0,130,133.79775280898878,55,417,197.40930979133228
1768839927,50,,Aggregated,8.600000,0.000000,130,130,140,150,280,350,390,410,490,490,490,665,0,130,133.58195488721805,55,489,198.603007518797
1768839933,50,,Aggregated,7.900000,0.000000,130,130,140,150,280,350,390,410,490,490,490,708,0,130,132.98870056497177,55,489,199.03531073446328
1768839938,50,,Aggregated,7.300000,0.000000,130,130,140,150,280,350,390,410,490,490,490,749,0,130,133.16288384512683,55,489,197.45126835781042
1768839944,50,,Aggregated,7.200000,0.000000,130,130,140,150,280,350,400,410,490,490,490,790,0,130,133.13164556962025,55,489,198.24177215189874
1768839949,50,,Aggregated,7.700000,0.000000,130,130,140,150,280,350,400,410,490,490,490,832,0,130,132.85576923076923,55,489,200.78605769230768
1768839955,50,,Aggregated,7.600000,0.000000,130,130,140,150,280,350,400,410,490,490,490,873,0,130,133.27491408934708,55,489,203.5418098510882
1768839961,50,,Aggregated,7.400000,0.000000,130,130,140,150,270,350,400,410,490,490,490,919,0,130,133.01632208922743,55,489,204.49292709466812
