Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/graph,4,0,170.0,232.8824000142049,128.234300063923,332.9516000812873,42813.75,0.1371138578751475,0.0,300,300,330,330,330,330,330,330,330,330,330
GET,/api/terms,76,0,110.0,130.06435000601127,93.04129995871335,403.6137000657618,22117.934210526317,2.6051632996278022,0.0,110,120,120,120,240,320,350,400,400,400,400
POST,/api/terms,13,0,66,95.62781539100867,62.195600010454655,276.4232999179512,51.0,0.44562003809422934,0.0,66,68,69,75,240,280,280,280,280,280,280
GET,/api/terms/%D0%91%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%8C%20%D0%B1%D0%BB%D0%BE%D0%BA%D1%87%D0%B5%D0%B9%D0%BD%D0%B0,1,0,84.19870003126562,84.19870003126562,84.19870003126562,84.19870003126562,308.0,0.03427846446878687,0.0,84,84,84,84,84,84,84,84,84,84,84
GET,/api/terms/%D0%91%D0%BB%D0%BE%D0%BA%D1%87%D0%B5%D0%B9%D0%BD-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0,1,0,299.31079992093146,299.31079992093146,299.31079992093146,299.31079992093146,299.0,0.03427846446878687,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/api/terms/%D0%92%D0%B0%D0%BB%D0%B8%D0%B4%D0%B0%D1%82%D0%BE%D1%80,1,0,61.08769995626062,61.08769995626062,61.08769995626062,61.08769995626062,280.0,0.03427846446878687,0.0,61,61,61,61,61,61,61,61,61,61,61
GET,/api/terms/%D0%92%D1%80%D0%B5%D0%BC%D1%8F%20%D0%B1%D0%BB%D0%BE%D0%BA%D0%B0,1,0,60.279699973762035,60.279699973762035,60.279699973762035,60.279699973762035,237.0,0.03427846446878687,0.0,60,60,60,60,60,60,60,60,60,60,60
GET,/api/terms/%D0%93%D1%80%D0%B0%D1%84%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C%20%D1%82%D1%80%D0%B0%D0%BD%D0%B7%D0%B0%D0%BA%D1%86%D0%B8%D0%B9,1,0,58.862000005319715,58.862000005319715,58.862000005319715,58.862000005319715,339.0,0.03427846446878687,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/api/terms/%D0%94%D0%B5%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D0%B8%D0%B7%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5,1,0,64.38600004184991,64.38600004184991,64.38600004184991,64.38600004184991,323.0,0.03427846446878687,0.0,64,64,64,64,64,64,64,64,64,64,64
GET,/api/terms/%D0%94%D0%B5%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D0%B8%D0%B7%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5%20%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D1%8B,1,0,65.16959995497018,65.16959995497018,65.16959995497018,65.16959995497018,354.0,0.03427846446878687,0.0,65,65,65,65,65,65,65,65,65,65,65
GET,/api/terms/%D0%9C%D0%B0%D1%81%D1%88%D1%82%D0%B0%D0%B1%D0%B8%D1%80%D1%83%D0%B5%D0%BC%D0%BE%D1%81%D1%82%D1%8C,1,0,61.945199966430664,61.945199966430664,61.945199966430664,61.945199966430664,347.0,0.03427846446878687,0.0,62,62,62,62,62,62,62,62,62,62,62
GET,/api/terms/%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D1%81%D1%82%D1%8C%20%D0%B1%D0%BB%D0%BE%D0%BA%D1%87%D0%B5%D0%B9%D0%BD%D0%B0,1,0,62.453499995172024,62.453499995172024,62.453499995172024,62.453499995172024,292.0,0.03427846446878687,0.0,62,62,62,62,62,62,62,62,62,62,62
GET,/api/terms/%D0%A0%D0%B0%D0%B7%D0%BC%D0%B5%D1%80%20%D0%B1%D0%BB%D0%BE%D0%BA%D0%B0,1,0,58.839399949647486,58.839399949647486,58.839399949647486,58.839399949647486,221.0,0.03427846446878687,0.0,59,59,59,59,59,59,59,59,59,59,59
