Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/graph,70,0,160.0,176.63367714766147,124.24780009314418,491.9137000106275,59727.12857142857,1.172060319565883,0.0,170,170,180,190,240,390,420,490,490,490,490
GET,/api/terms,744,0,130.0,149.13581357877678,93.88470009434968,476.0254999855533,33867.665322580644,12.45732682510024,0.0,130,140,140,150,250,350,410,430,480,480,480
POST,/api/terms,142,0,62,83.31515563448602,57.747900020331144,494.4227000232786,50.943661971830984,2.3776080768336483,0.0,62,63,64,65,78,290,320,350,490,490,490
GET,/api/terms/%D0%91%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%8C%20%D0%B1%D0%BB%D0%BE%D0%BA%D1%87%D0%B5%D0%B9%D0%BD%D0%B0,3,0,64,146.73250005580485,60.343399993143976,316.33510009851307,308.0,0.05023115655282355,0.0,64,64,320,320,320,320,320,320,320,320,320
GET,/api/terms/%D0%91%D0%BB%D0%BE%D0%BA,3,0,59,59.33706668050339,58.55740001425147,60.23910001385957,299.0,0.05023115655282355,0.0,59,59,60,60,60,60,60,60,60,60,60
GET,/api/terms/%D0%91%D0%BB%D0%BE%D0%BA%D1%87%D0%B5%D0%B9%D0%BD,3,0,60,61.44116671445469,58.229300077073276,65.9880000166595,380.0,0.05023115655282355,0.0,60,60,66,66,66,66,66,66,66,66,66
GET,/api/terms/%D0%91%D0%BB%D0%BE%D0%BA%D1%87%D0%B5%D0%B9%D0%BD-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0,5,0,59,58.86613999027759,57.61560006067157,60.84449996706098,299.0,0.08371859425470592,0.0,59,59,59,61,61,61,61,61,61,61,61
GET,/api/terms/%D0%92%D0%B0%D0%BB%D0%B8%D0%B4%D0%B0%D1%82%D0%BE%D1%80,5,0,59,60.5461600003764,57.83099995460361,66.32059998810291,280.0,0.08371859425470592,0.0,59,61,61,66,66,66,66,66,66,66,66
GET,/api/terms/%D0%92%D0%B8%D0%B7%D0%B0%D0%BD%D1%82%D0%B8%D0%B9%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BE%D1%82%D0%BA%D0%B0%D0%B7%D0%BE%D1%83%D1%81%D1%82%D0%BE%D0%B9%D1%87%D0%B8%D0%B2%D0%BE%D1%81%D1%82%D1%8C,4,0,59,63.93225002102554,58.24250006116927,74.71459999214858,353.0,0.06697487540376473,0.0,64,64,75,75,75,75,75,75,75,75,75
GET,/api/terms/%D0%92%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9%20%D1%80%D1%8F%D0%B4,1,0,63.477099989540875,63.477099989540875,63.477099989540875,63.477099989540875,268.0,0.016743718850941183,0.0,63,63,63,63,63,63,63,63,63,63,63
GET,/api/terms/%D0%92%D1%80%D0%B5%D0%BC%D1%8F%20%D0%B1%D0%BB%D0%BE%D0%BA%D0%B0,1,0,61.50399998296052,61.50399998296052,61.50399998296052,61.50399998296052,237.0,0.016743718850941183,0.0,62,62,62,62,62,62,62,62,62,62,62
GET,/api/terms/%D0%93%D1%80%D0%B0%D1%84%20%D0%B7%D0%BD%D0%B0%D0%BD%D0%B8%D0%B9,1,0,58.19719994906336,58.19719994906336,58.19719994906336,58.19719994906336,280.0,0.016743718850941183,0.0,58,58,58,58,58,58,58,58,58,58,58
GET,/api/terms/%D0%93%D1%80%D0%B0%D1%84%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C%20%D1%82%D1%80%D0%B0%D0%BD%D0%B7%D0%B0%D0%BA%D1%86%D0%B8%D0%B9,4,0,60,60.818550031399354,59.47009997908026,62.26590008009225,339.0,0.06697487540376473,0.0,62,62,62,62,62,62,62,62,62,62,62
GET,/api/terms/%D0%94%D0%B5%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F,1,0,60.99149992223829,60.99149992223829,60.99149992223829,60.99149992223829,273.0,0.016743718850941183,0.0,61,61,61,61,61,61,61,61,61,61,61
GET,/api/terms/%D0%94%D0%B5%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D0%B8%D0%B7%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5,6,0,61,60.98093334973479,57.170200045220554,65.14389999210835,323.0,0.1004623131056471,0.0,61,61,62,62,65,65,65,65,65,65,65
GET,/api/terms/%D0%9A%D0%B0%D0%BD%D0%B0%D0%BB%D1%8B%20%D0%BC%D0%B8%D0%BA%D1%80%D0%BE%D0%BF%D0%BB%D0%B0%D1%82%D0%B5%D0%B6%D0%B5%D0%B9,2,0,62,62.95799999497831,61.98410002980381,63.931899960152805,351.0,0.03348743770188237,0.0,64,64,64,64,64,64,64,64,64,64,64
GET,/api/terms/%D0%9A%D0%BE%D0%BC%D0%B8%D1%81%D1%81%D0%B8%D1%8F%20%D1%82%D1%80%D0%B0%D0%BD%D0%B7%D0%B0%D0%BA%D1%86%D0%B8%D0%B8,1,0,62.08379997406155,62.08379997406155,62.08379997406155,62.08379997406155,284.0,0.016743718850941183,0.0,62,62,62,62,62,62,62,62,62,62,62
GET,/api/terms/%D0%9A%D0%BE%D0%BD%D1%81%D0%B5%D0%BD%D1%81%D1%83%D1%81%D0%BD%D1%8B%D0%B9%20%D0%BC%D0%B5%D1%85%D0%B0%D0%BD%D0%B8%D0%B7%D0%BC,2,0,57.49309994280338,58.09080001199618,57.49309994280338,58.68850008118898,295.0,0.03348743770188237,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/api/terms/%D0%9A%D0%BE%D1%8D%D1%84%D1%84%D0%B8%D1%86%D0%B8%D0%B5%D0%BD%D1%82%20%D0%B2%D0%B0%D1%80%D0%B8%D0%B0%D1%86%D0%B8%D0%B8,2,0,59,58.9463000651449,58.854800066910684,59.03780006337911,335.0,0.03348743770188237,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/api/terms/%D0%9C%D0%B0%D1%81%D1%88%D1%82%D0%B0%D0%B1%D0%B8%D1%80%D1%83%D0%B5%D0%BC%D0%BE%D1%81%D1%82%D1%8C,1,0,62.55809997674078,62.55809997674078,62.55809997674078,62.55809997674078,347.0,0.016743718850941183,0.0,63,63,63,63,63,63,63,63,63,63,63
GET,/api/terms/%D0%9C%D0%B5%D1%82%D0%BE%D0%B4%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F%20%D1%81%D1%80%D0%B0%D0%B2%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0,1,0,59.935899917036295,59.935899917036295,59.935899917036295,59.935899917036295,316.0,0.016743718850941183,0.0,60,60,60,60,60,60,60,60,60,60,60
