Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/graph,163,0,260.0,285.83170490145136,194.5631999988109,755.1790999714285,222156.0736196319,1.3667630852824464,0.0,260,270,290,310,400,500,550,680,760,760,760
GET,/api/terms,1451,0,210.0,243.09915968192564,163.29990001395345,1371.6202999930829,154504.2115782219,12.16670697389466,0.0,210,230,240,250,340,450,490,540,1100,1400,1400
POST,/api/terms,309,0,60,86.2889080914943,56.559600052423775,339.07069999258965,50.637540453074436,2.5909803273145764,0.0,60,62,64,65,210,300,320,330,340,340,340
GET,/api/terms/%D0%91%D0%BB%D0%BE%D0%BA%D1%87%D0%B5%D0%B9%D0%BD,2,0,62,63.029900018591434,61.68050004635006,64.3792999908328,380.0,0.016770099205919587,0.0,64,64,64,64,64,64,64,64,64,64,64
GET,/api/terms/%D0%92%D0%B8%D0%B7%D0%B0%D0%BD%D1%82%D0%B8%D0%B9%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BE%D1%82%D0%BA%D0%B0%D0%B7%D0%BE%D1%83%D1%81%D1%82%D0%BE%D0%B9%D1%87%D0%B8%D0%B2%D0%BE%D1%81%D1%82%D1%8C,1,0,57.725299964658916,57.725299964658916,57.725299964658916,57.725299964658916,353.0,0.008385049602959794,0.0,58,58,58,58,58,58,58,58,58,58,58
GET,/api/terms/%D0%92%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9%20%D1%80%D1%8F%D0%B4,2,0,58,59.94455004110932,57.79480002820492,62.09430005401373,268.0,0.016770099205919587,0.0,62,62,62,62,62,62,62,62,62,62,62
GET,/api/terms/%D0%93%D1%80%D0%B0%D1%84%20%D0%B7%D0%BD%D0%B0%D0%BD%D0%B8%D0%B9,2,0,60,190.32644998515025,59.630899922922254,321.02200004737824,280.0,0.016770099205919587,0.0,320,320,320,320,320,320,320,320,320,320,320
GET,/api/terms/%D0%93%D1%80%D0%B0%D1%84%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C%20%D1%82%D1%80%D0%B0%D0%BD%D0%B7%D0%B0%D0%BA%D1%86%D0%B8%D0%B9,1,0,301.99279997032136,301.99279997032136,301.99279997032136,301.99279997032136,339.0,0.008385049602959794,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/api/terms/%D0%94%D0%B5%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F,2,0,59.4669000711292,61.70535000273958,59.4669000711292,63.943799934349954,273.0,0.016770099205919587,0.0,64,64,64,64,64,64,64,64,64,64,64
GET,/api/terms/%D0%94%D0%B5%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D0%B8%D0%B7%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5%20%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D1%8B,1,0,56.82489997707307,56.82489997707307,56.82489997707307,56.82489997707307,354.0,0.008385049602959794,0.0,57,57,57,57,57,57,57,57,57,57,57
