Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/graph,122,0,230.0,246.4075204906756,168.72369998600334,500.53189997561276,163409.0655737705,2.0559061661452898,0.0,230,240,250,260,320,370,480,500,500,500,500
GET,/api/terms,1414,0,190.0,221.37407764932075,137.48590007890016,614.3706999719143,111269.76025459688,23.828289499421636,0.0,190,200,210,220,350,420,470,500,600,610,610
POST,/api/terms,285,0,61,81.49630421151717,57.46120004914701,556.0745000839233,50.84561403508772,4.802731617634489,0.0,61,62,63,64,74,240,310,400,560,560,560
GET,/api/terms/%D0%91%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%8C%20%D0%B1%D0%BB%D0%BE%D0%BA%D1%87%D0%B5%D0%B9%D0%BD%D0%B0,1,0,83.11140001751482,83.11140001751482,83.11140001751482,83.11140001751482,308.0,0.016851689886436802,0.0,83,83,83,83,83,83,83,83,83,83,83
GET,/api/terms/%D0%91%D0%BB%D0%BE%D0%BA,1,0,56.18519999552518,56.18519999552518,56.18519999552518,56.18519999552518,299.0,0.016851689886436802,0.0,56,56,56,56,56,56,56,56,56,56,56
GET,/api/terms/%D0%91%D0%BB%D0%BE%D0%BA%D1%87%D0%B5%D0%B9%D0%BD,1,0,58.029299951158464,58.029299951158464,58.029299951158464,58.029299951158464,380.0,0.016851689886436802,0.0,58,58,58,58,58,58,58,58,58,58,58
GET,/api/terms/%D0%91%D0%BB%D0%BE%D0%BA%D1%87%D0%B5%D0%B9%D0%BD-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0,1,0,61.0166999977082,61.0166999977082,61.0166999977082,61.0166999977082,299.0,0.016851689886436802,0.0,61,61,61,61,61,61,61,61,61,61,61
GET,/api/terms/%D0%92%D0%B0%D0%BB%D0%B8%D0%B4%D0%B0%D1%82%D0%BE%D1%80,1,0,57.43459996301681,57.43459996301681,57.43459996301681,57.43459996301681,280.0,0.016851689886436802,0.0,57,57,57,57,57,57,57,57,57,57,57
GET,/api/terms/%D0%92%D0%B8%D0%B7%D0%B0%D0%BD%D1%82%D0%B8%D0%B9%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BE%D1%82%D0%BA%D0%B0%D0%B7%D0%BE%D1%83%D1%81%D1%82%D0%BE%D0%B9%D1%87%D0%B8%D0%B2%D0%BE%D1%81%D1%82%D1%8C,1,0,58.36300004739314,58.36300004739314,58.36300004739314,58.36300004739314,353.0,0.016851689886436802,0.0,58,58,58,58,58,58,58,58,58,58,58
GET,/api/terms/%D0%92%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9%20%D1%80%D1%8F%D0%B4,2,0,59.07129996921867,60.13144995085895,59.07129996921867,61.19159993249923,268.0,0.033703379772873604,0.0,61,61,61,61,61,61,61,61,61,61,61
GET,/api/terms/%D0%92%D1%80%D0%B5%D0%BC%D1%8F%20%D0%B1%D0%BB%D0%BE%D0%BA%D0%B0,1,0,56.377200060524046,56.377200060524046,56.377200060524046,56.377200060524046,237.0,0.016851689886436802,0.0,56,56,56,56,56,56,56,56,56,56,56
